id_municipio,sigla_uf,regiao,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8,cluster_k9,cluster_k10
1506187,PA,Norte,1,2,1,3,1,5,2,0,5
1506195,PA,Norte,1,2,1,3,1,5,2,0,5
1506203,PA,Norte,1,2,1,3,1,5,2,0,5
1506302,PA,Norte,1,2,1,3,1,5,2,0,3
1506351,PA,Norte,1,2,1,3,1,5,2,0,5
1506401,PA,Norte,1,2,1,3,1,5,2,0,5
1506500,PA,Norte,1,2,1,3,1,5,2,0,5
1506559,PA,Norte,1,2,1,3,1,5,2,0,5
1506583,PA,Norte,1,0,1,3,1,5,1,3,6
1506609,PA,Norte,1,2,1,3,1,5,2,0,3
1506708,PA,Norte,1,2,1,3,1,5,2,0,5
1506807,PA,Norte,1,2,1,3,1,5,2,0,5
1506906,PA,Norte,1,2,3,0,2,6,5,7,3
1507003,PA,Norte,1,2,1,3,1,5,2,0,3
1507102,PA,Norte,1,2,1,3,1,5,2,0,5
1507151,PA,Norte,1,2,1,3,1,5,2,0,5
1507201,PA,Norte,1,2,1,3,1,5,2,0,5
1507300,PA,Norte,1,2,1,3,1,5,2,0,5
1507409,PA,Norte,1,2,1,3,1,5,2,0,3
1507458,PA,Norte,1,2,1,3,1,5,2,0,5
1507466,PA,Norte,1,2,1,3,1,5,2,0,5
1507474,PA,Norte,1,2,3,0,5,0,7,8,3
1507508,PA,Norte,1,2,1,3,1,5,2,0,5
1507607,PA,Norte,1,2,1,3,1,5,2,0,5
1507706,PA,Norte,1,2,1,3,1,5,2,0,5
1507755,PA,Norte,1,2,1,3,1,5,1,3,6
1507805,PA,Norte,1,2,1,3,1,5,2,0,5
1507904,PA,Norte,1,2,1,3,1,5,2,0,5
1507953,PA,Norte,1,2,1,3,1,5,2,0,5
1507961,PA,Norte,1,2,1,3,1,5,2,0,3
1507979,PA,Norte,1,0,0,1,0,2,6,6,1
1508001,PA,Norte,1,2,1,3,1,5,2,0,5
1508035,PA,Norte,1,2,1,3,1,5,2,0,5
1508050,PA,Norte,1,2,1,3,1,5,2,0,5
1508084,PA,Norte,1,0,1,3,1,5,2,0,5
1508100,PA,Norte,0,0,0,1,0,2,6,6,1
1508126,PA,Norte,1,2,1,3,1,5,1,3,6
1508159,PA,Norte,1,2,1,3,1,5,2,0,5
1508209,PA,Norte,1,2,1,3,1,5,2,0,5
1508308,PA,Norte,1,2,1,3,1,5,2,0,5
1508357,PA,Norte,0,0,0,1,0,2,6,6,1
1508407,PA,Norte,0,0,0,1,0,3,4,1,4
1600055,AP,Norte,1,2,3,0,2,6,5,7,3
1600105,AP,Norte,1,2,3,0,2,6,5,7,3
1600154,AP,Norte,1,2,3,0,2,6,5,7,3
1600204,AP,Norte,1,2,3,0,2,6,5,7,3
1600212,AP,Norte,1,2,3,0,2,6,5,7,3
1600238,AP,Norte,0,0,0,1,0,2,6,6,1
1600253,AP,Norte,1,2,3,0,2,6,5,7,3
1600279,AP,Norte,1,2,1,3,1,5,2,0,5
1600303,AP,Norte,1,2,1,3,1,5,2,1,4
1600402,AP,Norte,1,2,1,3,1,5,2,0,3
1600501,AP,Norte,1,2,1,3,1,5,2,0,3
1600535,AP,Norte,1,2,3,0,2,6,5,7,3
1600550,AP,Norte,1,2,3,0,2,6,5,7,3
1600600,AP,Norte,1,2,1,3,1,5,2,0,5
1600709,AP,Norte,1,2,3,0,2,6,5,7,3
1600808,AP,Norte,1,2,3,0,2,6,5,7,3
1700251,TO,Norte,1,1,2,2,3,4,1,3,6
1700301,TO,Norte,0,1,2,2,3,4,1,4,8
1700350,TO,Norte,0,1,2,2,3,4,0,2,2
1700400,TO,Norte,1,1,2,2,3,4,1,3,6
1700707,TO,Norte,0,1,2,2,3,4,1,3,6
1701002,TO,Norte,1,2,3,0,5,0,7,8,9
1701051,TO,Norte,1,2,3,0,5,0,7,8,9
1701101,TO,Norte,0,1,2,2,3,4,3,2,2
1701309,TO,Norte,1,2,3,0,5,0,7,8,3
1701903,TO,Norte,0,1,2,2,3,4,1,3,6
1702000,TO,Norte,0,1,2,2,3,4,1,3,6
1702109,TO,Norte,1,0,1,3,1,3,4,1,4
1702158,TO,Norte,1,2,3,0,2,6,5,7,3
1702208,TO,Norte,1,2,1,3,5,0,7,8,9
1702307,TO,Norte,0,0,0,1,0,2,6,6,1
1702406,TO,Norte,1,2,1,3,5,0,7,8,9
1702554,TO,Norte,1,2,3,0,5,0,7,8,9
1702703,TO,Norte,1,2,3,0,5,0,7,8,9
1702901,TO,Norte,1,2,1,3,5,0,7,8,9
1703008,TO,Norte,1,2,3,0,2,6,5,7,3
1703057,TO,Norte,0,1,2,2,3,4,1,3,6
1703073,TO,Norte,1,1,3,0,5,0,7,8,0
1703107,TO,Norte,0,1,2,4,4,1,0,5,7
1703206,TO,Norte,0,1,2,2,3,4,1,3,0
1703305,TO,Norte,0,1,2,2,3,4,1,3,6
1703602,TO,Norte,0,1,2,4,4,1,0,2,2
1703701,TO,Norte,0,1,2,2,3,4,3,2,2
1703800,TO,Norte,1,2,3,0,5,0,7,8,9
1703826,TO,Norte,0,1,2,4,4,1,0,7,0
1703842,TO,Norte,1,2,1,2,3,4,1,3,6
