id_municipio,populacao_2020,pib_por_habitante_2020,participacao_agropecuaria_2020,participacao_industria_2020,participacao_administracao_publica_2020,quantidade_escolas_anos_iniciais,proporcao_escolas_rurais,proporcao_internet_aprendizagem,proporcao_biblioteca_sala_leitura,proporcao_laboratorio_informatica,alunos_por_turma_anos_iniciais,razao_matriculas_docentes_anos_iniciais,proporcao_matriculas_integral_anos_iniciais,sigla_uf,regiao,capital_uf,amazonia_legal,n_redes_publicas,cluster_id,cluster_codigo,pca_1,pca_2,municipio,n_alunos,probabilidade_media_risco,taxa_risco_real,taxa_alfabetizacao_real,status_dominio_modelo
3135050,39388.0,16121.15365085813,0.2690655612880756,0.1125751610777441,0.2867115555995643,9.5,0.6931818181818181,0.6875,0.875,0.4545454545454545,17.901834239130437,13.771538461538462,0.0136770120988953,MG,Sudeste,0,0,2,1,cluster_1,0.0757493337327098,0.1023930320543193,Jaíba,536,0.3552347837340554,0.3992537313432835,0.6007462686567164,DOMINIO_FORTE
3135076,5429.0,12246.8226192669,0.3270009583578075,0.0479024329922403,0.4145670386743747,2.0,0.0,0.0,0.5,0.0,20.272727272727277,13.9375,0.179372197309417,MG,Sudeste,0,0,1,2,cluster_2,-0.52735684830688,-1.671101637586753,Jampruca,27,0.3725453938419089,0.5555555555555556,0.4444444444444444,DOMINIO_FORTE
3135100,72018.0,16303.660196062096,0.0448956509569494,0.0781306378996333,0.2931322230568495,11.0,0.1923076923076923,0.7521367521367521,0.9615384615384616,0.5769230769230769,21.66903659611993,16.24944341372913,0.035317515568161,MG,Sudeste,0,0,2,0,cluster_0,0.2222677331047039,1.3165700583355322,Janaúba,742,0.4197705188980751,0.3221024258760108,0.6778975741239892,DOMINIO_FORTE
3135209,67852.0,11913.886105052172,0.06212694521424,0.0530856960136431,0.3674682903432104,29.5,0.656896551724138,0.6965517241379311,0.5816091954022987,0.4298850574712643,25.43405388471178,19.755074786324787,0.0253841959303849,MG,Sudeste,0,0,2,2,cluster_2,-1.765350141786818,1.551928480546913,Januária,675,0.4495524889827607,0.4207407407407407,0.5792592592592593,DOMINIO_FORTE
3135308,4384.0,18657.61861313869,0.3135501772776322,0.0537870613020913,0.3133703304043985,2.0,0.1666666666666666,0.6666666666666667,1.0,0.6666666666666667,13.833333333333332,10.31060606060606,0.0,MG,Sudeste,0,0,2,1,cluster_1,1.958911322828232,-1.9374213660598325,Japaraíba,53,0.3340612131094476,0.1886792452830188,0.8113207547169812,DOMINIO_FORTE
3135357,7982.0,8883.487847657228,0.0761676575857071,0.0415298606797408,0.5515130002662171,3.5,0.4,0.75,0.9,0.5,19.385416666666664,12.781045751633986,0.0254901960784313,MG,Sudeste,0,0,2,1,cluster_1,-0.2040831686946316,-1.2277439440241336,Japonvar,71,0.3520167616792583,0.2816901408450704,0.7183098591549296,DOMINIO_FORTE
3135407,4852.0,256356.76009892827,0.008484540878907,0.6910788722995296,0.0567957628990492,3.0,0.6666666666666666,0.0,1.0,1.0,13.76923076923077,10.848484848484848,0.0,MG,Sudeste,0,0,1,0,cluster_0,3.49091171812398,1.6005491977325794,Jeceaba,70,0.3416113855792756,0.1142857142857142,0.8857142857142857,DOMINIO_FORTE
3135456,7738.0,9930.989919875938,0.2008188703501858,0.0243145803638802,0.4921606439171627,2.0,0.5,0.5,1.0,1.0,25.545454545454547,25.545454545454547,0.0320284697508896,MG,Sudeste,0,0,1,2,cluster_2,-0.3621237900785072,-0.3375120701069063,Jenipapo de Minas,44,0.3742476643824522,0.4090909090909091,0.5909090909090909,DOMINIO_FORTE
3135506,12315.0,14739.991879821357,0.2929855220063189,0.0538960963810802,0.3304940571944402,3.0,0.1666666666666666,0.8333333333333333,0.8333333333333333,0.5,19.927777777777777,17.397222222222222,0.0041322314049586,MG,Sudeste,0,0,2,1,cluster_1,0.7947009447797264,-0.4970021909034597,Jequeri,122,0.3357755914060477,0.1475409836065573,0.8524590163934426,DOMINIO_FORTE
3135605,7468.0,15953.936797000537,0.2157888575725104,0.1715487199805498,0.3211529629996488,2.0,0.5,1.0,1.0,0.0,16.6,18.043478260869566,0.0891566265060241,MG,Sudeste,0,0,1,1,cluster_1,0.7044635278884258,-0.7679222139614299,Jequitaí,82,0.317958337141965,0.2926829268292683,0.7073170731707317,DOMINIO_FORTE
