threshold,accuracy,balanced_accuracy,precision_risk,recall_risk,recall_alfabetizado,f1_risk,taxa_predita_risco,tp_risk,fp_risk,fn_risk,tn_risk,modelo
0.84,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.85,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.86,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.87,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.88,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.89,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.9,0.583857961989847,0.5,0.0,0.0,1.0,0.0,0.0,0,0,625382,877427,decision_tree
0.1,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.11,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.12,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.13,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.14,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.15,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.16,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.17,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.18,0.416142038010153,0.5,0.416142038010153,1.0,0.0,0.5877122871020505,1.0,625382,877427,0,0,random_forest
0.19,0.416200595019061,0.5000430270576401,0.41616294847999447,0.9999504302970025,0.00013562381827775987,0.5877245786147917,0.9999001869166341,625351,877308,31,119,random_forest
0.2,0.4162292081029592,0.5000620185999012,0.41617217989468697,0.9999120537527463,0.0002119834470559944,0.5877271552433093,0.9998396336460588,625327,877241,55,186,random_forest
0.21,0.41639556324190236,0.500186337188236,0.4162326250199712,0.9997857309612365,0.0005869434152356834,0.587765599927052,0.9995681420593037,625248,876912,134,515,random_forest
0.22,0.4166943370714442,0.5004056824547695,0.4163393595147973,0.9995314863555395,0.001279878553999364,0.5878280495115844,0.9990577644930261,625089,876304,293,1123,random_forest
0.23,0.4175307707100503,0.5009979631446825,0.4166281980126159,0.9986680141097761,0.0033279121795887294,0.587966323328805,0.9975026766541856,624549,874507,833,2920,random_forest
0.24,0.42099694638506957,0.5034686207444435,0.41784261030283054,0.9952029319679812,0.011734309520906013,0.5885701181382527,0.9911525682904481,622382,867131,3000,10296,random_forest
0.25,0.42544129027707445,0.5065872529312607,0.41939928821381756,0.9904170570947037,0.022757448767817722,0.5892685386470558,0.9827250169515886,619389,857459,5993,19968,random_forest
0.26,0.4306515332287736,0.5100317538861859,0.4211592170162407,0.9833333866340892,0.03673012113828273,0.5897359916376573,0.9716191478757447,614959,845199,10423,32228,random_forest
0.27,0.4367388004729809,0.5141044445743712,0.4232894773364421,0.9753942390410981,0.05281465010764428,0.5903752403867092,0.9589242545127159,609994,831086,15388,46341,random_forest
0.28,0.44285800790386537,0.5180641636507848,0.4254271741609255,0.9664780885922524,0.06965023870931712,0.5907960162532488,0.9453842770438559,604418,816314,20964,61113,random_forest
0.29,0.4478253723527075,0.521238890649916,0.42719014380971443,0.9589642810314336,0.08351350026839839,0.5910742436495042,0.9341632902118633,599719,804150,25663,73277,random_forest
